y,t,g,Q
1,0,0.16065093338220987,0.9248097120886615
1,0,0.42804013334616653,0.7764426365311685
0,0,0.28339617851096066,0.8731945914353051
1,0,0.2592682205321415,0.4912212022124117
0,0,0.5308738460378701,0.8103187317291749
1,0,0.5617662364715442,0.9505908779939738
1,0,0.2699230017878014,0.9904845016237649
0,0,0.0770589338763309,0.2708005206703409
0,0,0.0,0.21735943474810343
1,0,2.325581395348837e-05,0.42184041689255053
1,0,0.062230362789955584,0.9761650575507365
1,0,0.2295652547808047,0.9609608979106056
0,0,0.377870454424715,0.6085013203989469
1,0,0.5103655671083726,0.9719136610325705
0,0,2.325581395348837e-05,0.42320501302668934
1,0,0.4764393055771303,0.20811723050063374
1,0,0.2798012424837899,0.8464349999855955
1,0,0.41353672761936544,0.7771093563896211
1,0,0.40369102780347815,0.8707611157452526
1,0,0.4616910985361706,0.9719136610325705
0,0,0.006676190476190475,0.2781572490570784
1,0,0.44624424712201477,0.8988380434442509
1,0,0.16065093338220987,0.9567312732109319
1,0,0.5622327817589385,0.9505908779939738
1,0,0.0,0.22733751132160795
0,0,0.4842130087291175,0.5802524079017294
1,0,0.5790475755617205,0.4064490914855648
0,0,0.469128955158026,0.6309001671222197
0,0,0.0,0.02239331309912168
0,0,0.21448572319490247,0.20333578218104265
1,0,0.25661182246537867,0.9293156916604105
1,0,0.4637408011190217,0.9589431852440143
1,0,0.2295652547808047,0.9219442623091808
1,0,0.45708131531642904,0.6085013203989469
1,0,2.325581395348837e-05,0.24549358514530592
1,0,0.2729832644756814,0.951199077985073
1,0,0.4902421778682147,0.6343272955846504
1,0,0.42804013334616653,0.7764426365311685
1,0,0.5171750465525418,0.9196207095658542
1,0,0.5521858313486552,0.5339609828324432
1,0,0.09303149040733054,0.9991805586628532
1,0,0.4598022678422934,0.5992343181414698
0,0,0.07029322971244235,0.20120876092190507
0,0,0.0,0.31933926323973777
0,0,0.6023766881891097,0.49119824930269873
1,0,0.4480834516472777,0.6085013203989469
1,0,0.6161787447038449,0.5662462513669796
1,0,0.08992514804500278,0.9761650575507365
0,0,0.0,0.319647875153338
0,0,0.48686056579564274,0.6513663290862953
0,0,0.6251301343056292,0.5513031260507257
0,0,2.325581395348837e-05,0.08030616343308744
1,0,0.20437591866042165,0.9254162682817821
0,0,0.0,0.22729531226396235
0,0,2.325581395348837e-05,0.3514867283448971
1,0,0.6161787447038449,0.488434601128634
0,0,0.11951238250824406,0.20333578218104265
1,0,0.028800747932719185,0.9964207412309228
1,0,0.0733765656825522,0.9991805586628532
0,0,0.6081963448671143,0.400223647708376
0,0,0.432743992854538,0.8503048631425711
1,0,0.2798012424837899,0.7940920354074308
1,0,0.03934567549151229,0.9761650575507365
1,0,0.4442847425660944,0.6210142394545062
1,0,0.08992514804500278,0.9490355629122403
0,0,0.0,0.34354269956885986
1,0,0.3673845943482942,0.951199077985073
1,0,0.41864337704025073,0.9221816291505512
1,0,0.5273542540565982,0.6777661723414362
1,0,0.4921725535514568,0.7090989918792248
0,0,0.159246402278297,0.27705363977364794
1,0,0.5729348725538014,0.7799196210858192
1,0,0.5366431894274764,0.8103187317291749
1,0,0.39949298544553546,0.4586821041896593
1,0,0.45708131531642904,0.6043651677030198
1,0,0.0733765656825522,0.9672980350551891
1,0,0.5697308558760003,0.4827510685764223
0,0,0.0,0.39993983101855657
1,0,0.2755101058066065,0.9142943536470215
0,0,0.0,0.2937913224095819
1,0,0.5372375500823505,0.9969152182468103
1,0,0.027684361554479463,0.9976071647026524
1,0,0.06398364588421397,0.9587152957310707
1,0,0.016347142089454352,0.9964207412309228
1,0,0.5622327817589385,0.9719136610325705
0,0,0.4480834516472777,0.5817850829693312
0,0,0.0370223602371736,0.20120876092190507
1,0,0.15937688173707495,0.9221845846601784
1,0,0.2295652547808047,0.9367713821468203
1,0,0.6251035242956312,0.9904845016237649
1,0,0.48916023559997296,0.6339999195823499
1,0,0.43049257371934596,0.6521887183047018
1,0,0.39996928901044543,0.9991805586628532
0,0,0.0,0.3305149616702418
1,0,0.5617662364715442,0.9653736798172163
1,0,0.3673845943482942,0.9604751331704766
0,0,0.0770589338763309,0.20120876092190507
0,0,0.45079253334584,0.6800207419983454
0,0,0.5739290136530936,0.6494778739960938
0,0,0.48753195855032927,0.7066654906085044
1,0,0.5444735731667553,0.4893101284364287
0,0,0.0,0.23959400878494452
1,0,0.06894634768243472,0.9490355629122403
1,0,0.03934567549151229,0.9490355629122403
1,0,0.5728324098154136,0.7224497178944159
1,0,0.20451481810153893,0.9248097120886615
1,0,0.5937264653028027,0.6826277115005296
1,0,0.4598022678422934,0.649120885034651
1,0,0.31672157729601713,0.9286821984569554
1,0,0.5387910728788418,0.9529599699750338
0,0,0.22435917689578116,0.41952502096783734
0,0,0.4925042053210831,0.7771093563896211
1,0,0.4567155288152779,0.6730067435395203
0,0,2.325581395348837e-05,0.36009696946451875
1,0,0.15869206287185766,0.9206717058295596
1,0,0.28339617851096066,0.7940920354074308
1,0,0.09303149040733054,0.9991805586628532
0,0,0.28339617851096066,0.8464349999855955
1,0,0.3017053550204223,0.9569257997288155
1,0,0.25671358821117474,0.9124714956716741
1,0,0.0750404085683929,0.9969152182468103
1,0,0.159246402278297,0.09844834625788136
0,0,0.0770589338763309,0.2063406156609362
1,0,0.028800747932719185,0.9991805586628532
0,0,0.0,0.31933926323973777
1,0,0.01716399486182798,0.9904845016237649
0,0,0.39949298544553546,0.49640260592875607
0,0,0.533246017749407,0.5785527499749877
1,0,0.0,0.44973965856415815
1,0,0.28392234266059324,0.9169226892036406
1,0,0.2773738518570898,0.9569257997288155
1,0,0.24192372194697456,0.9547714192971126
1,0,0.544075906018349,0.7817905624687255
